model,year,trivia,bore/stroke,unitary displacement,total displacement,compression ratio,maximum power,power per litre,maximum torque,valve actuation,fuel feed,ignition,lubrication,clutch,frame,front suspension,rear suspension,brakes,transmission,steering,fuel tank,front tyres,rear tyres,type,length,width,height,wheelbase,front track,rear track,weight,top speed,acceleration 0-100,0-400,0-1000,motore,urban test cycle (homologation 4-1993 with precedent testethod),motorway at 90 (homologation 4-1993 with precedent testethod),motorway at 120 (homologation 4-1993 with precedent testethod),"urban test cycle ece (version ""euro 2"")","extra urban test cycle eudc (version ""euro 2"")","consumption ece+eudc (version ""euro 2"")","co2 emissions combined (version ""euro 2"")","urban test cycle ece (version ""euro 3"")","extra urban test cycle eudc (version ""euro 3"")","consumption ece+eudc (version ""euro 3"")","co2 emissions combined (version ""euro 3"")","urban test cycle ece (versione ""euro 3"")","extra urban test cycle eudc (versione ""euro 3"")","consumption ece+eudc (versione ""euro 3"")","co2 emissions combined (versione ""euro 3"")",urban test cycle ece,extra urban test cycle eudc,consumption ece+eudc,co2 emissions combined,overall length,overall width,front overhang,rear overhang,dry weight,kerb weight,boot (trunk) capacity,fuel tank capacity,weight distribution,unit displacement,specific power,dry weight/power,transmission and gearbox,electronic controls,front,rear,maximum speed,0-100 (0-62ph),manual gearbox: 0-400,manual gearbox: 0-1000,f1 gearbox: 0-400,f1 gearbox: 0-1000,combined,*,**,gearbox,maximum power*,maximum revs perinute,specific output,suspension,0-200 (0-124ph),engine intake with twin ø,chassis,overall lenght,height 4,ful tank capacity,weight/power ratio,overall displacement,maximum power**,0-100,0-1.000,cst with f1-trac system,tptms,rear:,combined (ece+eudc)*,front (option),rear (option),overall lenght (in),overall width (in),height (in),wheelbase (in),front track (in),rear track (in),dry wheight* (lb),kerb weight* (lb),fuel tank capacity (gal),boot (trunk) capacity (cu ft),front (in),rear (in),cst with f1-trac,bore and stroke (in),unit displacement (cu in),total displacement (cu in),maximum speed (mph),0-62ph (s),0-1.000 (s),weight/power ratio (lb/cv),combined* (ece+eudc) (l/100 km),combined* (ece+eudc) (g/km),specific power output,weight distribution fr/r,fuel consumption***,emissions***,electronics,***,dry weight*,kerb weight*,boot capacity,bore and stroke,maximum torque**,f1,scm,combined ece*,front (winter),"rear (winter, can be used w/ chain)",0-62ph,0-124ph,suspensions,dry wheight,maximum engine speed,fiorano lap time,rear winter,0-62ph (0-100),0-124ph (0-200),dry weight/power ratio,fuel consumption (europeanarket version),co2 emission (europeanarket version),rear bench capacity,0-437 yd (0-400),0-1093 yd (0-1000),62-0ph (100-0),124-0ph (200-0),co2 emissions ***,7 gears f1 dual clutch transmission,"e-diff3, f1-trac, high performance abs with ferrari pre-fill","rear (winter, can be used with chains)",total capacity,maximum power **,maximum revs,esc,high-performance abs/ebd,f1-trac,e-diff 3,scm-e with dual coil,0-200,"** engine power is expressed in kw, in accordance with",totalaximum power,totalaximum torque,v12aximum power*,v12aximum torque,electricotor output,co2 emissions,0-300,7-speed dct,high perf abs/ebd,ef1-trac,scm-e frs,aerodynamics,maximum revs (limiter),"esc, high performance abs/ebd, f1-trac, e-diff, scc, frd scm-e",7-speed f1 dual-clutch transmission,fuel consumption,high performance abs/ebd distribution,ssc,frs scm-e,0-400m (0-437 yd),0-1000m (0-1093 yd),100 - 0 (62 – 0ph),200 – 0 (124 – 0 kph),co2 emissions***,maximum torque*,dry weight**,kerb weight**,front (opt),rear (opt),cst with f1 trac system (control for stability and traction),maximum revs perinute (limiter),"rear (winter, can be used with chain)",7-speed f1 dual-clutch gearbox,62-0ph,124-0ph,high performance abs/ebd,f1 trac,maximum power *,maximum torque *,kerb weight **,dry weight **,"e-diff3, f1-trac, abs/ebd performance with ferrari pre-fill, frs scm-e, ssc",0-400m,0-1000m,low,mid,high,extra high,7-speed f1 dual-clutch,bore stroke,"e-diff3, f1-trac, high-performance abs with ferrari pre-fill, frs scm-e, ssc",0 – 100,0 – 200,0 – 400,0 – 1000,maximum power output*,max. revs,0-100 km/h,4rm evo/4ws/ 7-speed f1 dct/ e-diff,"ssc4/ cst with f1 trac, esp",9.0 premium with abs evo/scm - e,0 - 100,0 - 200,100 - 0,200 - 0,max. power output*,max. engine speed,"f1 dual-clutch transmission, 7-speed","esp, esc, with f1-trac, e-diff 3, scm- 					e with twin solenoid",100-0,max. torque*,f1 seven-speed dual-clutch transmission,"e-diff3, f1-trac, abs/high performance ebd with ferrari pre-fill, frs scm-e, fde, ssc 6.0",0-200 km/h,100-0 km/h,200-0 km/h,max. speed,f1 7-speed dual-clutch gearbox,"e-diff3, f1-trac, high performance abs/ebd with ferrari pre-fill, frs scm-e, ssc with fde"
308 GTB,1975,"The 308 GTB made its debut at the Paris and London shows in 1975. Built to a Pininfarina design by Scaglietti, it retained the 308 GT4′s V8, albeit with dry sump lubrication. The latter made for lower engine mounting and better cooling thanks to the fact that more oil was present. The first models boasted fibreglass coachwork.",81 x 71 mm,365.86 cc,2926.90 cc,8.8 : 1,188 kW (255 hp) at 7700 rpm,87 hp/l,-,"twin overhead camshafts per bank, two valves per cylinder",four Weber 40 DCNF carburettors,"single spark plug per cylinder, single coil",dry sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 80 litres,205/70 VR 14,205/70 VR 14,"two-seater, berlinetta",4230 mm,1720 mm,1120 mm,2340 mm,1460 mm,1460 mm,1090 kg (dry),252 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 GT,1976,"Basically a more powerful version of the famous 365 GT4 2+2 reaching 4.8 litres, the 400 GT brought the development of the high performance, big displacement front-engined 2+2 coupé to new levels. Greater attention was also paid to interior detailing and this was the very first Ferrari to be offered with an optional three-speed General Motors gearbox to meet the demands of the US market.",81 x 78 mm,401.93 cc,4823.16 cc,8.8 : 1,250 kW (340 hp),70 hp/l,-,"twin overhead camshafts per bank, two valves per cylinder",six Weber 38 DCOE carburettors,"single spark plug per cylinder, two coils",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","self-levelling, independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,power-assisted recirculating-ball,capacity 120 litres,215/70 VR 15,215/70 VR 15,2+2 coupé,4810 mm,1796 mm,1310 mm,2700 mm,1470 mm,1500 mm,1700 kg (dry),245 km/h,-,14.8 sec.,25.3 sec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512 BB,1976,"At its debut at the Paris Show in 1976, the 512 BB was equipped with a 5-litre version of the 12-cylinder boxer. The new engine proved a great success, giving the same power at lower revs, better torque and a smoother delivery than the earlier version in the 365 GT4 BB. The Pininfarina coachwork differed only slightly from the previous model in certain details which not only made it look even more elegant but also helped improve engine cooling.",82 x 78 mm,411.92 cc,4943.04 cc,9.2 : 1,265 kW (360 hp) at 6800 rpm,73 hp/l,-,"twin overhead camshafts per bank, two valves per cylinder",four Weber 40 IF3C carburettors,"electronic, single spark plug per cylinder",dry sump,twin-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, twin telescopic shock absorbers each side, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 120 litres,215/70 VR 15,225/70 VR 15,"two-seater, berlinetta",4400 mm,1830 mm,1120 mm,2500 mm,1500 mm,1563 mm,1400 kg (dry),302 km/h,-,13.7 sec.,24.0 sec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 Automatic,1976,"The 400 series replaced the 365 GT4 2+2 model at the 1976 Paris Salon, and for the first time a model with automatic transmission became available on a Ferrari production car, the 400 Automatic.",81 x 78 mm,401.93 cc,4823.16 cc,8.8 : 1,250 kW (340 hp),70 hp/l,-,"twin overhead camshafts per bank, two valves per cylinder",six Weber 38 DCOE carburettors,"single spark plug per cylinder, two coils",wet sump,torque converter,tubular steel,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","self-levelling, independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",discs,3-speed automatic + reverse,power-assisted recirculating-ball,capacity 120 litres,215/70 VR 15,215/70 VR 15,2+2 coupé,4810 mm,1796 mm,1310 mm,2700 mm,1470 mm,1500 mm,1700 kg (dry),240 km/h,-,14.9 sec.,25.5 sec.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308 GTS,1977,"The pleasure of open top driving has a very special place in the heart of many Ferrari fans. The 308 GTS was developed in collaboration with Pininfarina in 1977 to help make that dream come true. When not in use, its Targa hard-top could be stored neatly away behind the seats. The chassis was specially reinforced to compensate for the lack of a full roof. Performance was similar to that of the 308 GTB.",81 x 71 mm,365.86 cc,2926.90 cc,8.8 : 1,188 kW (255 hp) at 7700 rpm,87 hp/l,-,"twin overhead camshafts per bank, two valves per cylinder",four Weber 40 DCNF carburettors,"single spark plug per cylinder, single coil",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 80 litres,205/70 VR 14,205/70 VR 14,two-seater targa-top,4230 mm,1720 mm,1120 mm,2340 mm,1460 mm,1460 mm,1090 kg (dry),252 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512 BB LM,1978,"The 512 BB was also considered to have racing potential and some dealers prepared a number of examples according to factory instructions. The modifications involved the bodywork where high speed aerodynamics were improved thanks to Pininfarina wind tunnel testing. The elastic bushings in the suspension were replaced by uniball joints and, naturally enough, enginewas also modified. Last but not least, the car was lightened, the brake servo was removed and the cooling system was modified to allow the engine to be used at full throttle for longer periods.",82 x 78 mm,411.92 cc,4943.04 cc,"10,3:1",346 kW (470 hp) at 7250 rpm,95 hp/l,-,"twin overhead camshafts per bank, two valves per cylinder",Lucas indirect injection,"electronic, single spark plug per cylinder",dry sump,twin-plate,tubular steel,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, twin telescopic shock absorbers each side, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 120 litres,23/59 x 15,34/61 x 15,"two-seater, berlinetta",4895 mm,1830 mm,1120 mm,2500 mm,1563 mm,1713 mm,1050 kg (with liquids),320 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 Automatic i,1979,"The 400 Automatic i succeeded the 400 Automatic in November 1979, the “i” suffix in the model name standing for “injection”, as a fuel injection system replaced the two banks of three side draught Weber carburettors. The fuel injection system used was Bosch K-Jetronic, and concurrently a single distributor mounted at the right rear of the engine, with a Dinoplex electronic ignition system, replaced the earlier twin distributor layout.",81 x 78 mm,401.93 cc,4823.16 cc,8.8 : 1,228 kW (310 hp) at 6500 rpm,64 hp/l,-,"twin overhead camshafts per bank, two valves per cylinder",Bosch K-Jetronic injection,"electronic, single spark plug per cylinder",wet sump,torque converter,tubular steel,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","self-levelling, independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",discs,3-speed automatic + reverse,power-assisted recirculating-ball,capacity 120 litres,215/70 VR 15,215/70 VR 15,2+2 coupé,4810 mm,1798 mm,1314 mm,2700 mm,1470 mm,1500 mm,1830 kg (dry),240 km/h,-,16.4 sec,29.2 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 GTi,1979,"The glorious V12, complete with new Bosch K-Jetronic fuel injection to comply with US exhaust emission standards, demonstrated generous powerful and enviable torque. This was a GT on which several body-makers vented their imaginations, even producing soft-top versions. Pavesi of Milan transformed it into a cabriolet with leather and veneer trim and modified the central tunnel.",81 x 78 mm,401.93 cc,4823.16 cc,8.8 : 1,228 kW (310 hp) at 6500 rpm,64 hp/l,-,"twin overhead camshafts per bank, two valves per cylinder",Bosch K-Jetronic injection,"electronic, single spark plug per cylinder",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","self-levelling, independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,power-assisted recirculating-ball,capacity 120 litres,215/70 VR 15,215/70 VR 15,2+2 coupé,4810 mm,1798 mm,1314 mm,2700 mm,1470 mm,1500 mm,1830 kg (dry),245 km/h,-,15.8 sec,27.9 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208 GTS,1980,"By no means new to the production of smaller displacement, high output, multi-fractioned engines; on the heels of the 1975 208 GT4 Ferrari introduced the smallest displacement version of the 308 GTB – the 208 GTB and GTS – in 1980. The bodywork was identical to that of its berlinetta and targa sisters, while the new version of the sophisticated 90° V8 came in at just under 2,000 cc.",66.8 x 71 mm,248.83 cc,1990.64 cc,9 : 1,114 kW (155 hp) at 6800 rpm,78 hp/l,170 Nm (17.3 kgm) at 4200 rpm,"twin overhead camshafts per bank, two valves per cylinder",four Weber 34 DCNF carburettors,"single spark plug per cylinder, single coil",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 74 litres,205/70 VR 14,205/70 VR 14,two-seater targa-top,4230 mm,1720 mm,1120 mm,2340 mm,1460 mm,1460 mm,1254 kg (dry),215 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308 GTSi,1980,"This spider version of the 308 GTBi shared both its line and engine. The fuel injection system gave both models much smoother power delivery. Unfortunately, meeting anti-pollution regulations meant that a few horses had to go, and the cleaner engines were less powerful than the previous carburettor ones. Aware of this situation and the need to re-establish its cars at the top their class, Ferrari immediately began further development of the V8 engine with the aim of increasing power whilst still keeping exhaust emissions within acceptable levels.",81 x 71 mm,365.86 cc,2926.90 cc,8.8 : 1,157 kW (214 hp) at 6600 rpm,73 hp/l,243 Nm (24.8 kgm) at 4600 rpm,"twin overhead camshafts per bank, two valves per cylinder",Bosch K-Jetronic injection,"electronic, single spark plug per cylinder",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 74 litres,205/70 VR 14,205/70 VR 14,two-seater targa-top,4230 mm,1720 mm,1120 mm,2340 mm,1460 mm,1460 mm,1297 kg (dry),240 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mondial 8,1980,"Unveiled to the waiting world at the 1980 Geneva Salon, the new Mondial 8 was very much the successor to the 308 GT4, and the styling marked the return of this high-performance, mid-engined, V8-powered 2+2 coupé to the Pininfarina fold. The Mondial 8 featured a wheel base 10 cm longer than the old model, thereby affording more space to the back seats. Good anti-corrosion treatment, lots of attention to detail and a more ergonomic interior, plus a class-leading high-performance engine, complete the profile of what truly can be defined as Ferrari’s first car with all-round appeal.",81 x 71 mm,365.86 cc,2926.90 cc,8.8 : 1,157 kW (214 hp) at 6600 rpm,73 hp/l,243 Nm (24.8 kgm) at 4600 rpm,"twin overhead camshafts per bank, two valves per cylinder",Bosch K-Jetronic injection,"electronic, single spark plug per cylinder",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 84 litres,240/55 VR 390,240/55 VR 390,2+2 coupé,4580 mm,1790 mm,1250 mm,2650 mm,1495 mm,1517 mm,1445 kg (dry),230 km/h,-,15 sec,28 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208 GTB,1980,"By no means new to the production of smaller displacement, high output, multi-fractioned engines; on the heels of the 1975 208 GT4 Ferrari introduced the smallest displacement version of the 308 GTB – the 208 GTB and GTS – in 1980. The bodywork was identical to that of its berlinetta and targa sisters, while the new version of the sophisticated 90° V8 came in at just under 2,000 cc.",66.8 x 71 mm,248.83 cc,1990.64 cc,9 : 1,114 kW (155 hp) at 6800 rpm,78 CV/l,170 Nm (17.3 kgm) at 4200 rpm,"twin overhead camshafts per bank, two valves per cylinder",four Weber 34 DCNF carburettors,"single spark plug per cylinder, single coil",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 74 litres,205/70 VR 14,205/70 VR 14,two-seater berlinetta,4230 mm,1720 mm,1120 mm,2340 mm,1460 mm,1460 mm,1232 kg (dry),215 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308 GTBi,1980,"The GTBi’s coachwork remained largely unchanged with respect to the 308 GTB, apart from a few modifications to the interior. The most important changes, however, were made to the engine. In fact, in competition, fuel injection systems had replaced the traditional stacks of carburettors and, as transferring racing experience to production cars has always been part of the Ferrari mission, adopting fuel injection systems was in line with this, helping indirectly to comply with new exhaust emission norms.",81 x 71 mm,365.86 cc,2926.90 cc,8.8 : 1,157 kW (214 hp) at 6600 rpm,73 CV/l,243 Nm (24.8 kgm) at 4600 rpm,"twin overhead camshafts per bank, two valves per cylinder",Bosch K-Jetronic injection,"electronic, single spark plug per cylinder",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 74 litres,205/70 VR 14,205/70 VR 14,two-seater berlinetta,4230 mm,1720 mm,1120 mm,2340 mm,1460 mm,1460 mm,1286 kg (dry),240 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512 BBi,1981,"Bosch K-Jetronic mechanical fuel injection on the 512 BBi replaced the outgoing model’s four, triple-choke Weber 40 IF 3C carburettors. Otherwise mechanically identical, the flat-12 featured lower maximum revs (6,600 rpm compared to the 512 BB’s 6,800 rpm) and the engine developed 20 bhp less, although top speed remained within a whisker of the 512 BB’s 283 km/h.",82 x 78 mm,411.92 cc,4943.04 cc,9.2 : 1,250 kW (340 hp) at 6000 rpm,69 hp/l,-,"twin overhead camshafts per bank, two valves per cylinder",Bosch K-Jetronic injection,"electronic, single spark plug per cylinder",dry sump,twin-plate,tubular steel,"independent, unequal-length wishbones, coil springs, telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs, twin telescopic shock absorbers each side, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 120 litres,240/55 VR 415,240/55 VR 415,"two-seater, berlinetta",4400 mm,1830 mm,1120 mm,2500 mm,1508 mm,1572 mm,1499 kg (dry),280 km/h,-,14.2 sec,25.1 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208 GTB Turbo,1982,"Turbo-charging had taken a strong foothold in Formula 1 racing and the experience gained on the tracks soon made the leap to production with the 208 GTB Turbo, unveiled at the 1982 Turin Motor Show. The 2,000 cc V8 was given a considerable injection of power that radically transformed its whole character, lending the kind of superb acceleration normally unthinkable in a car of this displacement.",66.8 x 71 mm,248.83 cc,1990.64 cc,7 : 1,162 kW (220 hp) at 7000 rpm,111 hp/l,240 Nm (24.5 kgm) at 4800 rpm,"twin overhead camshafts per bank, two valves per cylinder","Bosch K-Jetronic injection, single turbo","electronic, single spark plug per cylinder",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,Rack-and-pinion,capacity 74 litres,205/55 VR 16,225/50 VR 16,two-seater berlinetta,4230 mm,1720 mm,1120 mm,2340 mm,1460 mm,1460 mm,1232 kg (dry),242 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mondial Quattrovalvole,1982,"While all manufacturers (including Ferrari on its smaller capacity V8s) were pursuing the turbo route to increase power and performance (at the cost of higher fuel consumption and more costly mechanics), for this more mainstream sports car Ferrari’s engineers decided to opt for the 4-valve per cylinder engine.",81 x 71 mm,365.86 cc,2926.90 cc,9.2 : 1,176 kW (240 hp) at 7000 rpm,82 hp/l,260 Nm (26.5 kgm) at 5000 rpm,"twin overhead camshafts per bank, four valves per cylinder",Bosch K-Jetronic injection,"electronic, single spark plug per cylinder",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar","independent, unequal-length wishbones, coil springs over telescopic shock absorbers, anti-roll bar",discs,5-speed + reverse,rack-and-pinion,capacity 87 litres,240/55 VR 390,240/55 VR 390,2+2 coupé,4580 mm,1790 mm,1260 mm,2650 mm,1495 mm,1517 mm,1430 kg (dry),240 km/h,-,14.8 sec,27.5 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
